Index,AIN1,AIN2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
195,0.852259,0.844933,0,0,0,0,0,0
196,0.891331,0.847375,0,0,0,0,0,0
197,0.884005,0.815629,0,0,0,0,0,0
198,0.871795,0.837607,0,0,0,0,0,0
199,0.896215,0.844933,0,0,0,0,0,0
200,0.864469,0.874237,0,0,0,0,0,0
201,0.857143,0.832723,0,0,0,0,0,0
202,0.874237,0.825397,0,0,0,0,0,0
203,0.866911,0.810745,0,0,0,0,0,0
204,0.866911,0.830281,0,0,0,0,0,0
205,0.879121,0.874237,0,0,0,0,0,0
206,0.864469,0.847375,0,0,0,0,0,0
207,0.915751,0.862027,0,0,0,0,0,0
208,0.891331,0.857143,0,0,0,0,0,0
209,0.884005,0.849817,0,0,0,0,0,0
210,0.891331,0.849817,0,0,0,0,0,0
211,0.874237,0.852259,0,0,0,0,0,0
212,0.879121,0.844933,0,0,0,0,0,0
213,0.866911,0.837607,0,0,0,0,0,0
214,0.849817,0.859585,0,0,0,0,0,0
215,0.864469,0.825397,0,0,0,0,0,0
216,0.884005,0.840049,0,0,0,0,0,0
217,0.871795,0.842491,0,0,0,0,0,0
218,0.901099,0.840049,0,0,0,0,0,0
219,0.896215,0.869353,0,0,0,0,0,0
220,0.884005,0.876679,0,0,0,0,0,0
221,0.910867,0.854701,0,0,0,0,0,0
222,0.886447,0.881563,0,0,0,0,0,0
223,0.893773,0.871795,0,0,0,0,0,0
